,Unnamed: 0,date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
13558,467,2013-11-12,53.93000030517578,54.08000183105469,53.59999847412109,53.970001220703125,42.792030334472656,JPM,-0.0007411694389957,0.002038180616334,-0.006855711287998,-0.207114519796278,-0.0024029067852959,-0.015082485014273,-0.024606286472579,-0.0243592091075802,-0.0177598671524953,-0.0209153270098596,-0.0238836559759774
13587,468,2013-11-13,53.52000045776367,54.20000076293945,53.150001525878906,54.13999938964844,42.92682266235352,JPM,-0.0114517720516138,0.0011082632797829,-0.0182858861272691,-0.2071144598025036,0.0031498640930194,-0.0106391454943297,-0.0248245869171528,-0.0257111557154774,-0.0207148639088444,-0.021485080123903,-0.0256865430392886
13616,469,2013-11-14,54.2599983215332,54.5,53.70000076293945,54.400001525878906,43.13297653198242,JPM,-0.0025735882429911,0.0018382071933127,-0.0128676607225176,-0.2071144242254586,0.0048024037525236,-0.0052575158633316,-0.0242280767991582,-0.0280148201330302,-0.0252207096262323,-0.0247795291628206,-0.0288359095576733
13645,470,2013-11-15,54.27000045776367,54.959999084472656,54.18999862670898,54.869998931884766,43.5056266784668,JPM,-0.0109349095279904,0.0016402433814444,-0.0123929345437009,-0.2071144974419558,0.0086396579563012,-0.0104610899030657,-0.028285013799965,-0.0337889304905034,-0.0330508265029125,-0.0314124014587269,-0.0358179788244167
13674,471,2013-11-18,55.4900016784668,56.0,55.29999923706055,55.7400016784668,44.195438385009766,JPM,-0.0044851093016127,0.004664483561249,-0.0078938361707339,-0.2071145128421635,0.0158557091947832,-0.0200215112438586,-0.0368137896377812,-0.0452099101333161,-0.0468245452597105,-0.044355936251383,-0.048528895444554
13703,472,2013-11-19,55.970001220703125,56.63999938964844,55.77999877929688,56.150001525878906,44.52052307128906,JPM,-0.0032057043683751,0.0087265868290973,-0.0065895411670023,-0.2071144815415534,0.0073555765171513,-0.0194122967532269,-0.0363669188404416,-0.0481211551439372,-0.0515316489340735,-0.048598439111395,-0.0523419869620913
13732,473,2013-11-20,56.43000030517578,56.43999862670898,55.77000045776367,56.09999847412109,44.48086929321289,JPM,0.005882385740294,0.0060606089453769,-0.0058823177421233,-0.2071146077885919,-0.0008905262760283,-0.0115506398455008,-0.0283777485029878,-0.0431133438927258,-0.0477003776802377,-0.0462529727771611,-0.0483183256916526
13761,474,2013-11-21,56.27999877929688,57.400001525878906,56.27999877929688,57.220001220703125,45.36891174316406,JPM,-0.0164278647562512,0.0031457584994012,-0.0164278647562512,-0.2071144569156553,0.0199643988778126,-0.0210416752850455,-0.0376617522568382,-0.0552255291011963,-0.0621986005770698,-0.0628172698522885,-0.0642083883087809
13790,475,2013-11-22,57.25,57.52000045776367,57.060001373291016,57.459999084472656,45.55921173095703,JPM,-0.0036547004493323,0.0010442285807001,-0.0069613247050979,-0.207114297652879,0.0041943002210684,-0.0161157504341009,-0.0355901922737814,-0.0534286789704783,-0.0620346654471034,-0.0645320593341379,-0.06524559478294
13819,476,2013-11-25,57.5,58.13999938964844,57.40999984741211,57.650001525878906,45.70985794067383,JPM,-0.0026019344650246,0.0084995290685216,-0.0041630819100509,-0.2071143672016241,0.0033066906445111,-0.0127321153692886,-0.0326107139831913,-0.0500608676022203,-0.0608154222405636,-0.0652698883753186,-0.0654699445958914
13848,477,2013-11-26,57.630001068115234,57.959999084472656,57.16999816894531,57.16999816894531,45.32926177978516,JPM,0.0080462290345111,0.0138184526994873,0.0,-0.2071145140527925,-0.0083261638201018,-0.0008744744712397,-0.018890927504087,-0.0359978301399487,-0.0490466425657132,-0.0549378370103867,-0.0547897461377068
13877,478,2013-11-27,57.58000183105469,57.83000183105469,57.33000183105469,57.47999954223633,45.57505798339844,JPM,0.0017397753934371,0.0060891143285617,-0.0026095635416876,-0.2071145033689524,0.0054224485432887,-0.0014612762056603,-0.0183715502876482,-0.0349570516831743,-0.0499303855254121,-0.0567431842767208,-0.0578693847085977
13906,479,2013-11-29,57.58000183105469,57.84999847412109,57.20000076293945,57.220001220703125,45.36891174316406,JPM,0.0062915169988027,0.0110100880807044,-0.0003495361296224,-0.2071144569156553,-0.0045232832916457,0.0030758615772323,-0.0089829068539066,-0.0240825476454813,-0.0406501814315892,-0.0491437081462093,-0.0518350812807015
13935,480,2013-12-02,57.09999847412109,57.75,56.900001525878906,56.97999954223633,45.17861175537109,JPM,0.0021059833774799,0.0135135216558384,-0.0014039666023184,-0.2071145644379566,-0.0041943668882684,0.0056161195585489,-0.0011055278333692,-0.0164384110670035,-0.0326868005223541,-0.0421831175123288,-0.0462734463750057
13964,481,2013-12-03,56.88999938964844,57.220001220703125,56.13999938964844,56.86000061035156,45.08346557617188,JPM,0.0005275902035677,0.0063313507999862,-0.0126627015999722,-0.2071145780472559,-0.0021059833774799,0.0049596052244134,0.0029723244172625,-0.0111266312189961,-0.0264068660964804,-0.037221147435008,-0.0427423094236425
13993,482,2013-12-04,56.43999862670898,57.470001220703125,56.209999084472656,57.18999862670898,45.34511566162109,JPM,-0.0131141811157472,0.0048960063073577,-0.0171358553203153,-0.2071145873319897,0.0058036935071248,-0.00076928059763,-0.0009965382204853,-0.013079060089706,-0.0274434737253876,-0.0396571534329662,-0.0461850937372495
14022,483,2013-12-05,56.709999084472656,56.7400016784668,55.75,55.81999969482422,44.25886535644531,JPM,0.0159440952080649,0.0164815834588383,-0.0012540253530439,-0.2071145539517243,-0.0239552188281562,0.0178072495930941,0.0230205126684637,0.0131494934234863,-0.0002417731953502,-0.0137799361431232,-0.0209422365673992
14051,484,2013-12-06,56.56999969482422,56.7599983215332,55.619998931884766,56.060001373291016,44.449161529541016,JPM,0.0090973654841219,0.0124865667337583,-0.0078487768574312,-0.2071145122961381,0.0042995643099053,0.0093113667850404,0.0165715291543202,0.0107860561559776,-0.0005886716716095,-0.0147770376810802,-0.0230051181415577
14080,485,2013-12-09,56.27999877929688,56.52999877929688,56.09000015258789,56.5099983215332,44.80596160888672,JPM,-0.0040700681130383,0.0003539277713278,-0.0074322806834214,-0.2071144409888726,0.008027059172649,-0.0003894049302148,0.0067952003190296,0.0046717012835599,-0.0062909652913845,-0.0197912241965383,-0.0285790480316028
14109,486,2013-12-10,56.4900016784668,57.06999969482422,56.34999847412109,56.70000076293945,44.95659637451172,JPM,-0.0037036875070012,0.0065255542664226,-0.0061728797902792,-0.2071147130584082,0.0033622800752031,-0.0043031787081689,0.0017462301132395,0.0024341070616105,-0.0073277897806909,-0.0197881155377357,-0.0294706542774654
14138,487,2013-12-11,56.540000915527344,56.77000045776367,55.959999084472656,56.06999969482422,44.45709228515625,JPM,0.0083824009855757,0.0124844081817263,-0.0019618443187136,-0.2071144546615709,-0.011111129799614,0.0028891485958661,0.0110396716708882,0.0136019813239791,0.0056981841677135,-0.005835619212367,-0.0165805228919687
